
OUTPUT 

+------------------------------------+------------+
|                Tags                | No of Tags |
|       reinforcement-learning       |    528     |
|          relational-dbms           |     6      |
|           representation           |     34     |
|              research              |     46     |
|              reshape               |     28     |
|             retinanet              |     1      |
|               reward               |     2      |
|                rfe                 |     5      |
|          ridge-regression          |     21     |
|                rmse                |     19     |
|                rnn                 |    681     |
|                roc                 |     27     |
|              rstudio               |     59     |
|              rulefit               |     2      |
|                rust                |     1      |
|             sagemaker              |     23     |
|              sampling              |    156     |
|                sas                 |     20     |
|               scala                |     47     |
|            scalability             |     31     |
|            scikit-learn            |    1931    |
|               scipy                |     72     |
|               score                |     30     |
|              scoring               |     51     |
|              scraping              |     37     |
|              seaborn               |     79     |
|               search               |     46     |
|           search-engine            |     19     |
|            self-driving            |     8      |
|             self-study             |     46     |
|       semantic-segmentation        |     26     |
|        semantic-similarity         |     29     |
|      semi-supervised-learning      |     48     |
|              sensors               |     7      |
|         sentiment-analysis         |    185     |
|              sequence              |    101     |
|        sequence-to-sequence        |    103     |
|     sequential-pattern-mining      |     50     |
|           serialisation            |     4      |
|                set                 |     1      |
|                sgd                 |     12     |
|                shap                |     34     |
|          siamese-networks          |     22     |
|              sigmoid               |     5      |
|         similar-documents          |     56     |
|             similarity             |    244     |
|             simulation             |     25     |
|            skope-rules             |     1      |
|               smote                |     85     |
|              smotenc               |     7      |
|      social-network-analysis       |     85     |
|              softmax               |     45     |
|        software-development        |     15     |
|      software-recommendation       |     35     |
|               spacy                |     60     |
|               sparse               |     21     |
|              sparsity              |     5      |
|        spatial-transformer         |     3      |
|     spearmans-rank-correlation     |     7      |
|        spectral-clustering         |     8      |
|           speech-to-text           |     39     |
|               sports               |     6      |
|                spss                |     9      |
|               spyder               |     6      |
|                sql                 |     89     |
|             sqlalchemy             |     1      |
|            stacked-lstm            |     15     |
|              stacking              |     8      |
|            stanford-nlp            |     52     |
|               stata                |     6      |
|          state-of-the-art          |     7      |
|             statistics             |    934     |
|            statsmodels             |     33     |
|              stemming              |     4      |
|   structural-equation-modelling    |     4      |
|          structured-data           |     7      |
|        supervised-learning         |    322     |
|         survival-analysis          |     41     |
|                svm                 |    499     |
|                svr                 |     13     |
|              tableau               |     47     |
|          target-encoding           |     11     |
|            tensorboard             |     3      |
|             tensorflow             |    1917    |
|            terminology             |     82     |
|             tesseract              |     2      |
|                text                |    134     |
|        text-classification         |    172     |
|            text-filter             |     11     |
|          text-generation           |     54     |
|            text-mining             |    539     |
|               tfidf                |    103     |
|              tflearn               |     9      |
|               theano               |     46     |
|               theory               |     50     |
|                time                |     15     |
|          time-complexity           |     4      |
|            time-series             |    1481    |
|            tokenization            |     38     |
|               tools                |     62     |
|            topic-model             |    120     |
|               torch                |     18     |
|            torchvision             |     3      |
|                tpu                 |     1      |
|              training              |    524     |
|           tranformation            |     4      |
|         transfer-learning          |    164     |
|           transformation           |     12     |
|            transformer             |    213     |
|                tsne                |     53     |
|               tukey                |     1      |
|              twitter               |     20     |
|            uncertainty             |     1      |
|       unsupervised-learning        |    398     |
|              usecase               |     8      |
|                vae                 |     40     |
|             validation             |     32     |
|              variance              |     97     |
|             vc-theory              |     20     |
|        vector-space-models         |     34     |
|          version-control           |     10     |
|               vgg16                |     46     |
|           visualization            |    595     |
|            vowpalwabbit            |     1      |
|            wasserstein             |     3      |
|            web-scraping            |     22     |
|       weight-initialization        |     38     |
|           weighted-data            |     61     |
|                weka                |     59     |
|             wikipedia              |     6      |
|              windows               |     13     |
|          wolfram-language          |     4      |
|                word                |     9      |
|          word-embeddings           |    386     |
|              word2vec              |    314     |
|               xgbfi                |     1      |
|              xgboost               |    581     |
|                yolo                |     76     |
+------------------------------------+------------+
Total no of words are   648
